Date,Average Difficulty,Active Addresses Count,Average Transaction Fees,Transactions Count,Block Count,Block Size (bytes)
6/12/2018,3.33304E+15,355775,0.296899674,770199,5714,135316991
6/13/2018,3.26956E+15,385073,0.28953794,797637,5752,146377790
6/14/2018,3.27691E+15,372165,0.353653075,765916,5765,139216504
6/15/2018,3.25705E+15,385201,0.383190422,763803,5782,130759425
6/16/2018,3.29327E+15,310364,0.447412867,639775,5871,154717806
6/17/2018,3.29529E+15,321511,0.237517773,648548,5915,118108440
6/18/2018,3.39701E+15,344436,0.246225132,695753,5954,131428356
6/19/2018,3.43503E+15,375907,0.321234481,778765,5802,145050212
6/20/2018,3.37574E+15,388423,0.291762221,803076,5823,148993739
6/21/2018,3.45654E+15,384776,0.290771254,752035,5872,138145529
6/22/2018,3.42884E+15,383910,0.530097287,770457,5820,142592486
6/23/2018,3.39447E+15,340250,0.244080189,675918,5922,121940172
6/24/2018,3.45486E+15,359869,0.348207527,671994,5881,123314242
6/25/2018,3.39668E+15,492435,0.289248478,837265,5665,142918020
6/26/2018,3.36283E+15,372838,0.229503898,732170,5748,137149795
6/27/2018,3.48666E+15,382764,0.222269777,771938,5847,143719298
6/28/2018,3.4065E+15,393195,0.208638391,744784,5762,137859501
6/29/2018,3.37895E+15,379509,0.233076494,735092,5764,133831720
6/30/2018,3.47009E+15,261580,1.426259085,632981,5870,129637689
7/1/2018,3.36152E+15,197829,2.349033682,622633,5837,131329959
7/2/2018,3.39211E+15,235721,5.700029262,489559,5929,116357723
7/3/2018,3.45592E+15,232199,3.237123409,573532,5809,128070565
7/4/2018,3.43679E+15,230552,3.065402118,447112,5837,110408253
7/5/2018,3.56041E+15,253141,2.267582036,527586,5808,124825511
7/6/2018,3.5119E+15,219912,3.425129628,459075,5844,112328149
7/7/2018,3.52543E+15,217148,2.992797203,484105,5820,114711948
7/8/2018,3.45275E+15,272797,1.063987223,631505,5697,127418442
7/9/2018,3.53117E+15,290889,0.793643853,651926,5855,130928929
7/10/2018,3.49909E+15,294141,0.459718376,691771,5783,135492173
7/11/2018,3.35707E+15,271336,0.581527693,643920,5931,131108742
7/12/2018,3.44198E+15,257081,1.020701721,566058,5993,127278578
7/13/2018,3.44624E+15,239602,1.173037273,563317,5953,123779359
